isp_name;funnel_stage;funnel_notes
WAHANA INTERNET NUSANTARA;F2;Kajian bisnis untuk kawasan Galuh Mas antara pemilik kawasan dengan Witel Karawang (on-progress evaluasi oleh Witel Karawang). TIF baru akan bisa melakukan penawaran setelah pemilik kawasan memberikan ijin.
WAHANA INTERNET NUSANTARA;F4;
JALUR SATU AMAN;Drop;
INDOINTERNET;F2;
INDOINTERNET;F2;
PRIME LINK COMMUNICATION;F1;
PRIME LINK COMMUNICATION;F1;
PASIFIK SATELIT NUSANTARA;F1;
PASIFIK SATELIT NUSANTARA;F1;
DUTAKOM WIBAWA PUTRA;F1;
CYBERPLUS MEDIA PRATAMA;F1;
SUNVONE SOLUSINDO;F1;
NAP INFO LINTAS NUSA;F1;
TRANS INDONESIA SUPERKORIDOR;F3;
PARSAORAN GLOBAL DATATRANS;Drop;
HIPERNET INDODATA;F5;
FIBERSTAR;F1;
WAVE COMMUNICATION INDONESIA;F2;
MITRA VISIONER PRATAMA;F2;
HANASTA DAKARA;F1;
SOLUSI AKSESINDO PRATAMA;F1;
PASIFIKTEL INDOTAMA;F1;
NUSANTARA STAR CONNECT;F1;
GASTRANETWORK;F5;
MAXINDO MITRA SOLUSI;F5;
MAXINDO MITRA SOLUSI;F5;
GLOBAL MEDIA INTEGRA;F1;
GLOBAL ERASIBER TEKNOLOGI;F4;
WADMA BERKAH SEDAYA;F5;
CEMERLANG MULTIMEDIA;F4;potensi hold isp
CEMERLANG MULTIMEDIA;F4;potensi hold isp
CEMERLANG MULTIMEDIA;Drop;
CEMERLANG MULTIMEDIA;Drop;
BARAYA TELEMATIKA NUSANTARA;F1;
CITRA JELAJAH INFORMATIKA;F5;
BINA INFORMATIKA SOLUSINDO;F1;
GADING BHAKTI UTAMA;F4;
AFNA DIGITAL INDONESIA;F1;
YETOYA SOLUSI INDONESIA;F1;
MELVAR LINTASNUSA;F1;
MEDIA ANTAR NUSA;F1;
PEMBANGUNAN SARANA TELEMATIKA;F4;
ANUGERAH CIMANUK RAYA;F1;
INTEGRASI JARINGAN EKOSISTEM;F4;Kendala request POC di Cyber, perlu koordinasi dari AM ke ISP utk konfirmasi kelanjutan penawaran, dan perlu koordinasi ke pihak Neucentrix utk perijinan dan kebutuhan cost crossconnect
TEKNOLOGI MADANI UTAMA;F2;
JAYA KARTHA SOLUSINDO;F0;
LINTAS JARINGAN NUSANTARA;F1;
JEMBATAN CITRA NUSANTARA;F0;
VAIOTECH LINTAS NUSANTARA;F5;
SATU AKSES INDONESIA;Drop;
INTERNET KELUARGA INDONESIA;F1;
ASTRINET;F1;
FIBERMEDIA;F3;
JEMBER TEKNOLOGI SOLUSI;F0;
GLOBALNET MULTI DATA;F4;
JINDE GRUP INDONESIA;F0;
KARYA HASTA JAYA;F0;
LANCAR ARTHA MEDIA DATA;F0;
LINEA GLOBAL TEKNOLOGI;F0;
PEMBANGUNAN SARANA TELEMATIKA;F3;
JURAGAN WIFI INDONESIA;F5;
DANKOM MITRA ABADI;F3;
LINTAS DAYA NUSANTARA;F0;
IOSYS MEDIA DATA;F1;
LINTAS SATU VISI;F0;
MEDIA SOLUSI SUKSES;F1;
LISAR INTERNATIONAL NETWORKING;F0;
PUTRA GARSEL INTERKONEKSI;F5;
PUTRA GARSEL INTERKONEKSI;F1;
ANTEN SARANA TEKNOLOGI;F1;
AWINET GLOBAL MANDIRI;F1;
ALAM MEDIA DATA;F1;
MARAWA TRANSMISI MEDIA;F0;
MEDIA DATA LINTAS NUSANTARA BERSATU;F0;
MEDIA SARANA DATA;F0;
MEDIA TEKNO NUSANTARA;F0;
MEDIANUSA PERMANA;F0;
PUSAKA KREASI MANDIRI;F1;
JEMBATAN DATA PANGRANGO;F3;
JEMBATAN DATA PANGRANGO;F3;
RAJA SEPADAN ABADI;F4;
MEKARSARI DIGITAL TEKNOLOGI;F0;
QWORD;F1;
TERRA SIGMA SOLUSI;F3;
TIDAR LINTAS NUSA;F1;
CLOUDNET;F1;
GLOBAL INTERNET INDONESIA;F5;
APLIKANUSA LINTASARTA;F2;
INOVASI TJARAKA BUANA;F2;
ARTHA MEDIA LINTAS NUSA;F1;
WIFIAN GLOBAL NUSANTARA;F1;
SELARAS CITRA TERABIT;F4;
LINTAS DATA PRIMA;F4;
MERAK LINTAS NUSANTARA;F0;
MITRA INTERNET INDONESIA;F0;
MULTIMEDIA DATA SENTRA;F0;
MULTINET PERKASA INDONESIA;F0;
MEDIA ANTAR NUSA;F4;
ANDAL BERJAYA INFOMEDIA;F1;
JAVADWIPA;F1;
WAHYU ADIDAYA NETWORK;F5;
DANISWARA CITRA INFORMATIKA;F5;
JAYA LINTAS INDONESIA;F5;
DELTA SURYA SOLUSITAMA;F4;
GAYATRI LINTAS NUSANTARA;F4;
CAPOENG DIGITAL NUSANTARA;F4;
NARAYA TELEMATIKA;F0;
SELARAS CITRA TERABIT;F0;
NARAYA TELEMATIKA;F0;PKS dengan RWS
GARUDA MEDIA TELEMATIKA;F1;Sudah dilakukan approach dan rencana akan dskusi dulu bersama RWS terkait SPH/Quotation
PERSADA DATA MULTIMEDIA;F0;
PESONA NUSA VISION;F0;
POP NET INDONESIA;F0;
PROXI JARINGAN NUSANTARA;F0;
RAJAWALI BINTANG CEMERLANG TELKOMEDIA;F0;
RAJEG MEDIA TELEKOMUNIKASI;F0;
RETBIZZ EXABIT INDONESIA;F0;
SAKTI MEDIA TELEKOMUNIKASI;F0;
SAKTI PUTRA MANDIRI;F0;
MULTIMEDIA DATA SENTRA;F0;
SALINGKA TELEKOMUNIKASI NUSANTARA;F0;
SARANA CIPTA KOMUNIKASI;F0;
SARANA MEDIA CEMERLANG;F0;
SATNETCOM BALIKPAPAN;F0;Pelanggan eksisting RWS, AM eksisting request untuk HOLD dan perlu koordinasi lanjutan
SEKAR SOLUSI ABADI;F0;Pelanggan eksisting RWS, AM eksisting request untuk HOLD dan perlu koordinasi lanjutan
SELARAS CITRA TERABIT;F0;ISP ini sudah diakuisisi oleh GMEDIA, maka kerjasama harus melalui GMEDIA
SHANGKURIANG TELEKOMUNIKASI INDONESIA;F0;
SOLUSI MEDIA TELEKOMUNIKASI;F0;
SPEED NETWORK INDONESIA;F0;
HEPRA TEKNOLOGI INDONESIA;F1;Sudah dilakukan approach dan rencana akan dskusi dulu bersama RWS terkait SPH/Quotation
SURYA TEKNIKA PRATAMA;F0;
TELEKOMUNIKASI INTERNET INDONESIA;F0;
RECONET SEMESTA INDONESIA;F1;Sudah dilakukan approach dan rencana akan dskusi dulu bersama RWS terkait SPH/Quotation
LINTAS JARINGAN NUSANTARA;F1;Sudah dilakukan approach dan rencana akan dskusi dulu bersama RWS terkait SPH/Quotation
MAHAWIRA NUSANTARA GRUP;F4;Sudah dilakukan approach dan rencana akan dskusi dulu bersama RWS terkait SPH/Quotation
WIN ARTHA MANDIRI;F1;Sudah dilakukan approach dan rencana akan dskusi dulu bersama RWS terkait SPH/Quotation
DIGITAL MEDIA TELEMATIKA;F2;Sudah dilakukan approach dan rencana akan dskusi dulu bersama RWS terkait SPH/Quotation
ERA NETWORK INDONESIA;F4;Sudah dilakukan approach dan rencana akan dskusi dulu bersama RWS terkait SPH/Quotation
LINTASMAYA MULTI MEDIA;F5;
TELEKOMUNIKASI NETWORK NUSANTARA;F5;
BORNEO BROADBAND TECHNOLOGY;F5;
TIGA PILAR BANUA;F5;
KHAZANAH MEDIA NETWORK NUSANTARA;F5;
BORNEO CAKRAWALA MEDIA;F1;
SUGI BINTANG JAYA;F5;
CROSS NETWORK INDONESIA;F4;
TELEMEDIA PRIMA NUSANTARA;F1;
3D TECH;F1;
COMTELINDO;F3;
PASIFIK WIJA TEKNOLOGI;F3;
AULIA SENTRAL MULTIDATA;F3;
PESONA NUSA VISION;F1;
MEDIALINK GLOBAL MANDIRI;F5;
CITRA AGUNG MESTIKA;F1;
BURAQ TELEKOMUNIKASI INDONESIA;F4;
JENIUS LINTAS NUSANTARA;F4;
WAHANA LINTAS NUSA PERSADA;F0;
CPM;F5;
WAHANA INTERNET NUSANTARA;F1;
WISUANDHA NETWORK GLOBALINDO;F0;
GAF SOLUSINDO MEDIA;F1;SPH satu pintu di MyRep pusat, sudah deal sesuai Bakes, namun utk volume di  Makassar belum terinfo (belum survey), estimasi volume Myrep pusat di angka 1000 pole
EKA MAS REPUBLIK;F1;SPH satu pintu di MyRep pusat, sudah deal sesuai Bakes, Progress perhitungan Volume (proses survey) di sisi customer, estimasi volume dari MyRep pusat di angka Q2 2000 pole
YADICA MULTIMEDIA NUSANTARA;F4;
ZINET MEDIA NUSANTARA;F0;
DEWATA SOLUSI TEHNOLOGI;F1;
KAILI GLOBAL;F1;
GASTRA;F4;
PANDU PALAPA TELEMATIKA;F1;
JINOM NETWORK INDONESIA;F1;
FIBERKO;F1;
KOTANET JARINGAN TELEKOMUNIKASI;F4;
APLIKANUSA LINTASARTA;F2;
HASYA MITRA KOMUNIKA;F2;
SATUNOL DIGITAL TEKNOLOGI;F2;
BOMM AKSES TEKNOLOGI;F2;
NEXUS INDONESIA PLUS;F3;
JARINGANKU MEDIA TELEKOMUNIKASI;F4;
